sourceTask,destinationTask,value
CR,CR,6.3
CR,QA,3.2
CR,SL,5.3
QA,CR,3.4
QA,QA,9.5
QA,SL,2.5
SL,CR,0.3
SL,QA,0.3
SL,SL,0.5
