srcClass,destClass,meanDistance
0,0,8.987607955932617
0,1,9.331989288330078
1,0,9.331989288330078
1,1,9.455573081970215
0,2,9.164549827575684
2,0,9.164549827575684
1,2,9.271821022033691
2,1,9.271821022033691
2,2,8.976560592651367
